split,class_folder,class_id,scientific_name,common_name,venom_status,country,continent,uuid,source_member,destination_path
train,018_Agkistrodon_contortrix,18,Agkistrodon contortrix,Copperhead,Venomous,United States of America,North America,9d2ef98dd44644c2a510c3220613dcf3,train/18/9d2ef98dd44644c2a510c3220613dcf3.jpg,data\active\Snake Species Pilot 51 Targeted B2 Confusion\train\018_Agkistrodon_contortrix\9d2ef98dd44644c2a510c3220613dcf3.jpg
train,018_Agkistrodon_contortrix,18,Agkistrodon contortrix,Copperhead,Venomous,United States of America,North America,19ee1c91d47947378e75ab808476758a,train/18/19ee1c91d47947378e75ab808476758a.jpg,data\active\Snake Species Pilot 51 Targeted B2 Confusion\train\018_Agkistrodon_contortrix\19ee1c91d47947378e75ab808476758a.jpg
train,018_Agkistrodon_contortrix,18,Agkistrodon contortrix,Copperhead,Venomous,United States of America,North America,79d80382982d4a138eeba9ffdded004c,train/18/79d80382982d4a138eeba9ffdded004c.jpg,data\active\Snake Species Pilot 51 Targeted B2 Confusion\train\018_Agkistrodon_contortrix\79d80382982d4a138eeba9ffdded004c.jpg
train,018_Agkistrodon_contortrix,18,Agkistrodon contortrix,Copperhead,Venomous,United States of America,North America,20e23008100d4e249fd757c11fe059fe,train/18/20e23008100d4e249fd757c11fe059fe.jpg,data\active\Snake Species Pilot 51 Targeted B2 Confusion\train\018_Agkistrodon_contortrix\20e23008100d4e249fd757c11fe059fe.jpg
train,018_Agkistrodon_contortrix,18,Agkistrodon contortrix,Copperhead,Venomous,United States of America,North America,862dfe63d94f45a0923f78a930a7f83e,train/18/862dfe63d94f45a0923f78a930a7f83e.jpg,data\active\Snake Species Pilot 51 Targeted B2 Confusion\train\018_Agkistrodon_contortrix\862dfe63d94f45a0923f78a930a7f83e.jpg
train,018_Agkistrodon_contortrix,18,Agkistrodon contortrix,Copperhead,Venomous,United States of America,North America,f16b82b4b10140638007ae148436bcbe,train/18/f16b82b4b10140638007ae148436bcbe.jpg,data\active\Snake Species Pilot 51 Targeted B2 Confusion\train\018_Agkistrodon_contortrix\f16b82b4b10140638007ae148436bcbe.jpg
train,018_Agkistrodon_contortrix,18,Agkistrodon contortrix,Copperhead,Venomous,United States of America,North America,86bd458deaca49b7ab75e0a940cab37a,train/18/86bd458deaca49b7ab75e0a940cab37a.jpg,data\active\Snake Species Pilot 51 Targeted B2 Confusion\train\018_Agkistrodon_contortrix\86bd458deaca49b7ab75e0a940cab37a.jpg
train,018_Agkistrodon_contortrix,18,Agkistrodon contortrix,Copperhead,Venomous,United States of America,North America,6975fc5a6129460dbb6347d3012c6075,train/18/6975fc5a6129460dbb6347d3012c6075.jpg,data\active\Snake Species Pilot 51 Targeted B2 Confusion\train\018_Agkistrodon_contortrix\6975fc5a6129460dbb6347d3012c6075.jpg
train,018_Agkistrodon_contortrix,18,Agkistrodon contortrix,Copperhead,Venomous,United States of America,North America,6277e16d707240d7b0be79eb65191f08,train/18/6277e16d707240d7b0be79eb65191f08.jpg,data\active\Snake Species Pilot 51 Targeted B2 Confusion\train\018_Agkistrodon_contortrix\6277e16d707240d7b0be79eb65191f08.jpg
train,018_Agkistrodon_contortrix,18,Agkistrodon contortrix,Copperhead,Venomous,United States of America,North America,0bd1af4119054513917caa7944efd082,train/18/0bd1af4119054513917caa7944efd082.jpg,data\active\Snake Species Pilot 51 Targeted B2 Confusion\train\018_Agkistrodon_contortrix\0bd1af4119054513917caa7944efd082.jpg
train,018_Agkistrodon_contortrix,18,Agkistrodon contortrix,Copperhead,Venomous,United States of America,North America,73088b55156849499d6b2970c2a34b93,train/18/73088b55156849499d6b2970c2a34b93.jpg,data\active\Snake Species Pilot 51 Targeted B2 Confusion\train\018_Agkistrodon_contortrix\73088b55156849499d6b2970c2a34b93.jpg
train,018_Agkistrodon_contortrix,18,Agkistrodon contortrix,Copperhead,Venomous,United States of America,North America,6511ea53123d4524bbc3c9b7ba7a0d48,train/18/6511ea53123d4524bbc3c9b7ba7a0d48.jpg,data\active\Snake Species Pilot 51 Targeted B2 Confusion\train\018_Agkistrodon_contortrix\6511ea53123d4524bbc3c9b7ba7a0d48.jpg
train,018_Agkistrodon_contortrix,18,Agkistrodon contortrix,Copperhead,Venomous,United States of America,North America,a53095a8d5ad46c49ebe6b464bf6f2f4,train/18/a53095a8d5ad46c49ebe6b464bf6f2f4.jpg,data\active\Snake Species Pilot 51 Targeted B2 Confusion\train\018_Agkistrodon_contortrix\a53095a8d5ad46c49ebe6b464bf6f2f4.jpg
train,018_Agkistrodon_contortrix,18,Agkistrodon contortrix,Copperhead,Venomous,United States of America,North America,6b604a50cc884bf88900e2facab9f23b,train/18/6b604a50cc884bf88900e2facab9f23b.jpg,data\active\Snake Species Pilot 51 Targeted B2 Confusion\train\018_Agkistrodon_contortrix\6b604a50cc884bf88900e2facab9f23b.jpg
train,018_Agkistrodon_contortrix,18,Agkistrodon contortrix,Copperhead,Venomous,United States of America,North America,264d925c53f342a8a14d61a09ff95581,train/18/264d925c53f342a8a14d61a09ff95581.jpg,data\active\Snake Species Pilot 51 Targeted B2 Confusion\train\018_Agkistrodon_contortrix\264d925c53f342a8a14d61a09ff95581.jpg
train,018_Agkistrodon_contortrix,18,Agkistrodon contortrix,Copperhead,Venomous,unknown,unknown,f823132f6c0945a4885e8972c0f732ad,train/18/f823132f6c0945a4885e8972c0f732ad.jpg,data\active\Snake Species Pilot 51 Targeted B2 Confusion\train\018_Agkistrodon_contortrix\f823132f6c0945a4885e8972c0f732ad.jpg
train,018_Agkistrodon_contortrix,18,Agkistrodon contortrix,Copperhead,Venomous,United States of America,North America,b5574735c4b54442b3d8d6224c545507,train/18/b5574735c4b54442b3d8d6224c545507.jpg,data\active\Snake Species Pilot 51 Targeted B2 Confusion\train\018_Agkistrodon_contortrix\b5574735c4b54442b3d8d6224c545507.jpg
train,018_Agkistrodon_contortrix,18,Agkistrodon contortrix,Copperhead,Venomous,United States of America,North America,3bf1fc70d6324fbba3d1c1c8cb714360,train/18/3bf1fc70d6324fbba3d1c1c8cb714360.jpg,data\active\Snake Species Pilot 51 Targeted B2 Confusion\train\018_Agkistrodon_contortrix\3bf1fc70d6324fbba3d1c1c8cb714360.jpg
train,018_Agkistrodon_contortrix,18,Agkistrodon contortrix,Copperhead,Venomous,unknown,unknown,59260564029c40838c6710caea0b907e,train/18/59260564029c40838c6710caea0b907e.jpg,data\active\Snake Species Pilot 51 Targeted B2 Confusion\train\018_Agkistrodon_contortrix\59260564029c40838c6710caea0b907e.jpg
