priority,model_target,issue,true_species,confused_with,true_class,confused_risk,needed_role,min_images,region_focus,source_preference,reason
1,species_b3,venomous_species_predicted_non_venomous,Naja atra,"Natrix maura | Psammodynastes pulverulentus | Morelia spilota",Venomous,Non Venomous,positive_venomous,70,China | East Asia,open_license_iNaturalist_or_Wikimedia,B2 still fails Naja atra as non venomous in several flows; reinforce cobra positives with broader visual variation.
1,species_b3,venomous_species_predicted_non_venomous,Pseudechis australis,Contia tenuis,Venomous,Non Venomous,positive_venomous,70,Australia,open_license_iNaturalist_or_Wikimedia,B2 introduced/kept a Pseudechis australis -> Contia tenuis risk error under wrong-country flow.
1,species_b3,venomous_species_predicted_non_venomous,Agkistrodon contortrix,"Morelia spilota | Lampropeltis triangulum",Venomous,Non Venomous,positive_venomous,50,United States of America,open_license_iNaturalist_or_Wikimedia,Agkistrodon contortrix remains vulnerable to non-venomous ranking under wrong-country flow.
1,species_b3,venomous_species_predicted_non_venomous,Boiga irregularis,Boiga kraepelini,Venomous,Non Venomous,positive_venomous,50,Oceania | Southeast Asia,open_license_iNaturalist_or_Wikimedia,Internal cross-risk confusion: Boiga irregularis can fall into non-venomous Boiga kraepelini.
2,species_b3,paired_hard_negative,Psammodynastes pulverulentus,Naja atra,Non Venomous,Venomous,paired_hard_negative_non_venomous,50,Southeast Asia,open_license_iNaturalist_or_Wikimedia,Paired negative for Naja atra; B2 predicted Naja atra as Psammodynastes pulverulentus with country context.
2,species_b3,paired_hard_negative,Natrix maura,Naja atra,Non Venomous,Venomous,paired_hard_negative_non_venomous,50,Europe | North Africa,open_license_iNaturalist_or_Wikimedia,Paired negative for Naja atra and frequent internal cross-risk group.
2,species_b3,paired_hard_negative,Morelia spilota,"Naja atra | Agkistrodon contortrix",Non Venomous,Venomous,paired_hard_negative_non_venomous,50,Australia | Oceania,open_license_iNaturalist_or_Wikimedia,Paired negative for Naja/Agkistrodon wrong-country confusions.
2,species_b3,paired_hard_negative,Contia tenuis,"Naja atra | Pseudechis australis",Non Venomous,Venomous,paired_hard_negative_non_venomous,50,United States of America | North America,open_license_iNaturalist_or_Wikimedia,Contia is a non-venomous hard negative for Naja/Pseudechis-like false alerts.
2,species_b3,paired_hard_negative,Lampropeltis triangulum,Agkistrodon contortrix,Non Venomous,Venomous,paired_hard_negative_non_venomous,50,North America,open_license_iNaturalist_or_Wikimedia,Paired negative for Agkistrodon and false-coral/milk snake visual confusion.
2,species_b3,paired_hard_negative,Boiga kraepelini,Boiga irregularis,Non Venomous,Venomous,paired_hard_negative_non_venomous,50,China | Southeast Asia,open_license_iNaturalist_or_Wikimedia,Paired negative for Boiga irregularis cross-risk confusion.
2,species_b3,non_venomous_species_predicted_venomous,Corallus caninus,"Tropidolaemus wagleri | Bothriechis schlegelii",Non Venomous,Venomous,hard_negative_non_venomous,40,South America,open_license_iNaturalist_or_Wikimedia,B2 improves Corallus but iNaturalist availability is low; keep as target and seek alternate sources if still short.
2,species_b3,paired_venomous_counterpart,Tropidolaemus wagleri,Corallus caninus,Venomous,Non Venomous,paired_positive_venomous,40,Southeast Asia,open_license_iNaturalist_or_Wikimedia,Venomous counterpart for green arboreal snake confusion.
2,species_b3,paired_venomous_counterpart,Bothriechis schlegelii,Corallus caninus,Venomous,Non Venomous,paired_positive_venomous,40,Central America | South America,open_license_iNaturalist_or_Wikimedia,Venomous counterpart for green arboreal snake confusion.
2,species_b3,non_venomous_species_predicted_venomous,Lampropeltis alterna,Crotalus lepidus,Non Venomous,Venomous,hard_negative_non_venomous,40,United States of America | Mexico,open_license_iNaturalist_or_Wikimedia,B2 improved Lampropeltis alterna but availability was low; keep target and seek alternate sources if still short.
2,species_b3,paired_venomous_counterpart,Crotalus lepidus,Lampropeltis alterna,Venomous,Non Venomous,paired_positive_venomous,40,United States of America | Mexico,open_license_iNaturalist_or_Wikimedia,Venomous counterpart for Lampropeltis alterna confusion.
